iter	Passed	Remaining
0	8	1807
1	16	1733
2	23	1639
3	31	1629
4	39	1626
5	47	1613
6	55	1598
7	63	1602
8	71	1604
9	80	1600
10	87	1591
11	96	1589
12	104	1581
13	112	1578
14	120	1569
15	129	1568
16	137	1561
17	145	1554
18	155	1559
19	162	1547
20	171	1541
21	179	1531
22	187	1522
23	195	1518
24	205	1520
25	214	1519
26	223	1516
27	232	1513
28	241	1508
29	250	1504
30	259	1496
31	267	1490
32	276	1482
33	285	1476
34	293	1468
35	301	1457
36	309	1448
37	318	1439
38	326	1430
39	334	1421
40	342	1412
41	350	1401
42	359	1395
43	367	1388
44	377	1382
45	385	1374
46	393	1366
47	403	1362
48	413	1357
49	422	1352
50	432	1346
51	441	1341
52	449	1332
53	458	1325
54	467	1316
55	475	1306
56	482	1295
57	490	1284
58	497	1272
59	507	1268
60	515	1260
61	524	1252
62	533	1245
63	543	1239
64	553	1233
65	562	1227
66	571	1220
67	581	1213
68	590	1207
69	599	1199
70	609	1192
71	618	1186
72	628	1179
73	637	1171
74	646	1164
75	655	1155
76	665	1149
77	674	1142
78	684	1134
79	693	1126
80	702	1119
81	712	1111
82	721	1104
83	730	1095
84	740	1088
85	748	1079
86	757	1070
87	766	1061
88	774	1053
89	783	1044
90	791	1035
91	800	1026
92	809	1017
93	818	1009
94	827	1001
95	836	993
96	844	983
97	852	974
98	860	964
99	868	955
100	877	946
101	886	938
102	895	930
103	905	922
104	914	914
105	922	905
106	931	896
107	940	887
108	948	878
109	957	870
110	966	861
111	975	853
112	984	845
113	994	837
114	1003	828
115	1012	820
116	1021	812
117	1030	803
118	1039	795
119	1048	786
120	1058	778
121	1066	769
122	1074	759
123	1082	751
124	1090	741
125	1098	732
126	1106	723
127	1114	713
128	1122	704
129	1130	695
130	1139	687
131	1148	678
132	1156	669
133	1164	660
134	1172	651
135	1181	642
136	1188	633
137	1197	624
138	1199	612
139	1208	604
140	1216	595
141	1225	586
142	1233	577
143	1241	569
144	1250	560
145	1258	551
146	1266	542
147	1274	534
148	1282	524
149	1290	516
150	1293	505
151	1297	495
152	1305	486
153	1314	477
154	1322	469
155	1326	459
156	1330	449
157	1333	438
158	1342	430
159	1350	422
160	1359	413
161	1368	405
162	1376	396
163	1384	388
164	1393	379
165	1401	371
166	1411	363
167	1421	355
168	1429	346
169	1438	338
170	1448	330
171	1457	322
172	1466	313
173	1470	304
174	1479	295
175	1487	287
176	1492	278
177	1500	269
178	1509	261
179	1516	252
180	1526	244
181	1530	235
182	1539	227
183	1547	218
184	1557	210
185	1566	202
186	1571	193
187	1577	184
188	1585	176
189	1594	167
190	1604	159
191	1613	151
192	1618	142
193	1629	134
194	1640	126
195	1644	117
196	1648	108
197	1656	100
198	1661	91
199	1667	83
200	1675	75
201	1683	66
202	1692	58
203	1697	49
204	1706	41
205	1709	33
206	1717	24
207	1725	16
208	1733	8
209	1737	0
